genres,id,year,recommend,sentiment_analysis
RPG,301520,2017.0,True,1
RPG,301520,2017.0,True,1
RPG,301520,2017.0,True,2
RPG,301520,2017.0,True,1
RPG,301520,2017.0,True,1
RPG,301520,2017.0,True,2
RPG,301520,2017.0,True,2
RPG,301520,2017.0,True,2
RPG,301520,2017.0,True,1
RPG,301520,2017.0,False,2
RPG,301520,2017.0,True,1
RPG,301520,2017.0,True,1
RPG,301520,2017.0,True,1
Adventure,215510,2012.0,True,0
Action,291480,2014.0,True,2
Action,291480,2014.0,True,1
Action,291480,2014.0,True,2
Indie,234190,2013.0,True,1
Adventure,314660,2015.0,True,2
Strategy,281990,2016.0,True,2
Indie,250620,2017.0,True,2
Adventure,249130,2013.0,True,1
Adventure,249130,2013.0,True,2
Casual,304050,2015.0,True,2
Casual,304050,2015.0,True,0
Casual,304050,2015.0,True,1
Casual,304050,2015.0,True,2
Casual,304050,2015.0,True,1
Casual,304050,2015.0,True,0
Action,438690,2016.0,True,1
Action,438690,2016.0,False,1
Free to Play,342150,2017.0,False,1
Strategy,326460,2015.0,True,1
Massively Multiplayer,247730,2014.0,True,2
Massively Multiplayer,247730,2014.0,True,2
Massively Multiplayer,247730,2014.0,False,1
Strategy,305620,2017.0,True,1
Strategy,305620,2017.0,False,2
Action,203290,2015.0,True,2
Adventure,208670,2012.0,True,2
Racing,412470,2015.0,True,2
Indie,224540,2012.0,True,2
Indie,224540,2012.0,False,1
Indie,224540,2012.0,True,1
Indie,224540,2012.0,True,2
Indie,224540,2012.0,False,1
Indie,224540,2012.0,True,1
Indie,224540,2012.0,True,1
Indie,224540,2012.0,True,1
Action,200710,2012.0,True,2
Action,239660,2013.0,True,1
Strategy,311310,2016.0,False,1
Adventure,275850,2016.0,False,1
Adventure,275850,2016.0,False,2
Adventure,275850,2016.0,True,0
Adventure,275850,2016.0,False,2
Adventure,275850,2016.0,False,1
Strategy,2700,2006.0,True,1
Strategy,2700,2006.0,True,2
Action,21090,2005.0,True,0
Action,21090,2005.0,True,0
Action,21090,2005.0,True,1
Action,236450,2013.0,True,2
Indie,257750,2013.0,True,2
RPG,239140,2015.0,True,2
RPG,239140,2015.0,True,2
RPG,239140,2015.0,True,2
Early Access,385270,2015.0,False,1
Action,220,2004.0,True,1
Action,220,2004.0,True,1
Action,220,2004.0,True,2
Action,220,2004.0,True,2
Action,317400,2015.0,True,1
Indie,298240,2015.0,True,2
Adventure,226740,2013.0,True,2
RPG,200710,2012.0,True,2
Indie,307070,2014.0,True,2
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,0
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,False,0
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,0
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,0
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,True,1
Adventure,252490,2013.0,True,2
Adventure,252490,2013.0,False,0
Adventure,252490,2013.0,True,1
Free to Play,335430,2017.0,True,2
Indie,370150,2015.0,True,1
Casual,38700,2010.0,True,1
Indie,274290,2014.0,True,1
Indie,247000,2014.0,True,2
Indie,247000,2014.0,True,2
Action,204080,2013.0,True,2
RPG,7670,2007.0,True,1
RPG,7670,2007.0,True,2
RPG,7670,2007.0,True,2
RPG,7670,2007.0,True,2
